Time,Input_I,LIF_V,Izh_V,LIF_Spike,Izh_Spike
66.7000,20.0000,-54.5428,-51.8915,0,0
66.8000,20.0000,-53.9519,-51.1986,0,0
66.9000,20.0000,-53.3729,-50.4427,0,0
67.0000,20.0000,-52.8054,-49.6139,0,0
67.1000,20.0000,-52.2493,-48.7001,0,0
67.2000,20.0000,-51.7043,-47.6865,0,0
67.3000,20.0000,-51.1702,-46.5548,0,0
67.4000,20.0000,-50.6468,-45.2816,0,0
67.5000,20.0000,-50.1339,-43.8374,0,0
67.6000,20.0000,30.0000,-42.1839,1,0
67.7000,20.0000,-64.2000,-40.2706,0,0
67.8000,20.0000,-63.4160,-38.0299,0,0
67.9000,20.0000,-62.6477,-35.3687,0,0
68.0000,20.0000,-61.8947,-32.1564,0,0
68.1000,20.0000,-61.1568,-28.2041,0,0
68.2000,20.0000,-60.4337,-23.2283,0,0
68.3000,20.0000,-59.7250,-16.7870,0,0
68.4000,20.0000,-59.0305,-8.1550,0,0
68.5000,20.0000,-58.3499,3.9328,0,0
68.6000,20.0000,-57.6829,21.8609,0,0
68.7000,20.0000,-57.0292,30.0000,0,1
68.8000,20.0000,-56.3887,-65.5008,0,0
68.9000,20.0000,-55.7609,-65.9863,0,0
69.0000,20.0000,-55.1457,-66.4547,0,0
69.1000,20.0000,-54.5428,-66.9047,0,0
69.2000,20.0000,-53.9519,-67.3353,0,0
69.3000,20.0000,-53.3729,-67.7455,0,0
69.4000,20.0000,-52.8054,-68.1347,0,0
69.5000,20.0000,-52.2493,-68.5026,0,0
69.6000,20.0000,-51.7043,-68.8488,0,0
69.7000,20.0000,-51.1702,-69.1735,0,0
69.8000,20.0000,-50.6468,-69.4767,0,0
69.9000,20.0000,-50.1339,-69.7590,0,0
70.0000,20.0000,30.0000,-70.0206,1,0
70.1000,20.0000,-64.2000,-70.2624,0,0
70.2000,20.0000,-63.4160,-70.4848,0,0
70.3000,20.0000,-62.6477,-70.6888,0,0
70.4000,20.0000,-61.8947,-70.8751,0,0
70.5000,20.0000,-61.1568,-71.0445,0,0
70.6000,20.0000,-60.4337,-71.1980,0,0
70.7000,20.0000,-59.7250,-71.3364,0,0
70.8000,20.0000,-59.0305,-71.4607,0,0
70.9000,20.0000,-58.3499,-71.5716,0,0
71.0000,20.0000,-57.6829,-71.6700,0,0
71.1000,20.0000,-57.0292,-71.7568,0,0
71.2000,20.0000,-56.3887,-71.8328,0,0
71.3000,20.0000,-55.7609,-71.8986,0,0
71.4000,20.0000,-55.1457,-71.9550,0,0
71.5000,20.0000,-54.5428,-72.0028,0,0
71.6000,20.0000,-53.9519,-72.0425,0,0
71.7000,20.0000,-53.3729,-72.0747,0,0
71.8000,20.0000,-52.8054,-72.1000,0,0
71.9000,20.0000,-52.2493,-72.1190,0,0
72.0000,20.0000,-51.7043,-72.1321,0,0
72.1000,20.0000,-51.1702,-72.1398,0,0
72.2000,20.0000,-50.6468,-72.1425,0,0
72.3000,20.0000,-50.1339,-72.1406,0,0
72.4000,20.0000,30.0000,-72.1345,1,0
72.5000,20.0000,-64.2000,-72.1245,0,0
72.6000,20.0000,-63.4160,-72.1109,0,0
72.7000,20.0000,-62.6477,-72.0940,0,0
72.8000,20.0000,-61.8947,-72.0741,0,0
72.9000,20.0000,-61.1568,-72.0514,0,0
73.0000,20.0000,-60.4337,-72.0260,0,0
73.1000,20.0000,-59.7250,-71.9983,0,0
73.2000,20.0000,-59.0305,-71.9684,0,0
73.3000,20.0000,-58.3499,-71.9365,0,0
73.4000,20.0000,-57.6829,-71.9027,0,0
73.5000,20.0000,-57.0292,-71.8672,0,0
73.6000,20.0000,-56.3887,-71.8301,0,0
73.7000,20.0000,-55.7609,-71.7915,0,0
73.8000,20.0000,-55.1457,-71.7516,0,0
73.9000,20.0000,-54.5428,-71.7104,0,0
74.0000,20.0000,-53.9519,-71.6680,0,0
74.1000,20.0000,-53.3729,-71.6245,0,0
74.2000,20.0000,-52.8054,-71.5799,0,0
74.3000,20.0000,-52.2493,-71.5345,0,0
74.4000,20.0000,-51.7043,-71.4881,0,0
74.5000,20.0000,-51.1702,-71.4409,0,0
74.6000,20.0000,-50.6468,-71.3930,0,0
74.7000,20.0000,-50.1339,-71.3443,0,0
74.8000,20.0000,30.0000,-71.2949,1,0
74.9000,20.0000,-64.2000,-71.2449,0,0
75.0000,20.0000,-63.4160,-71.1943,0,0
75.1000,20.0000,-62.6477,-71.1431,0,0
75.2000,20.0000,-61.8947,-71.0913,0,0
75.3000,20.0000,-61.1568,-71.0390,0,0
75.4000,20.0000,-60.4337,-70.9862,0,0
75.5000,20.0000,-59.7250,-70.9330,0,0
75.6000,20.0000,-59.0305,-70.8793,0,0
75.7000,20.0000,-58.3499,-70.8251,0,0
75.8000,20.0000,-57.6829,-70.7706,0,0
75.9000,20.0000,-57.0292,-70.7156,0,0
76.0000,20.0000,-56.3887,-70.6602,0,0
76.1000,20.0000,-55.7609,-70.6045,0,0
76.2000,20.0000,-55.1457,-70.5483,0,0
76.3000,20.0000,-54.5428,-70.4919,0,0
76.4000,20.0000,-53.9519,-70.4350,0,0
76.5000,20.0000,-53.3729,-70.3779,0,0
76.6000,20.0000,-52.8054,-70.3203,0,0
76.7000,20.0000,-52.2493,-70.2625,0,0
76.8000,20.0000,-51.7043,-70.2043,0,0
76.9000,20.0000,-51.1702,-70.1458,0,0
77.0000,20.0000,-50.6468,-70.0869,0,0
77.1000,20.0000,-50.1339,-70.0278,0,0
77.2000,20.0000,30.0000,-69.9683,1,0
77.3000,20.0000,-64.2000,-69.9085,0,0
77.4000,20.0000,-63.4160,-69.8484,0,0
77.5000,20.0000,-62.6477,-69.7880,0,0
77.6000,20.0000,-61.8947,-69.7272,0,0
77.7000,20.0000,-61.1568,-69.6662,0,0
77.8000,20.0000,-60.4337,-69.6048,0,0
